model_name,F1,ROC,acc-class-1,acc-class-2,TPR,FPR,AUC,THRE
SynClass,0.3333333333333333,0.5,0.5,,"[0.         0.03703704 0.18518519 0.25925926 0.37037037 0.37037037
 0.48148148 0.48148148 0.48148148 0.51851852 0.51851852 0.59259259
 0.77777778 1.        ]","[0.         0.         0.         0.         0.         0.03703704
 0.03703704 0.14814815 0.22222222 0.2962963  0.33333333 0.37037037
 0.44444444 1.        ]",0.7242798353909464,-0.1
SynClass,0.3333333333333333,0.5,0.5,,"[0.         0.03703704 0.18518519 0.25925926 0.37037037 0.37037037
 0.48148148 0.48148148 0.48148148 0.51851852 0.51851852 0.59259259
 0.77777778 1.        ]","[0.         0.         0.         0.         0.         0.03703704
 0.03703704 0.14814815 0.22222222 0.2962963  0.33333333 0.37037037
 0.44444444 1.        ]",0.7242798353909464,-0.09000000000000001
SynClass,0.3333333333333333,0.5,0.5,,"[0.         0.03703704 0.18518519 0.25925926 0.37037037 0.37037037
 0.48148148 0.48148148 0.48148148 0.51851852 0.51851852 0.59259259
 0.77777778 1.        ]","[0.         0.         0.         0.         0.         0.03703704
 0.03703704 0.14814815 0.22222222 0.2962963  0.33333333 0.37037037
 0.44444444 1.        ]",0.7242798353909464,-0.08000000000000002
SynClass,0.3333333333333333,0.5,0.5,,"[0.         0.03703704 0.18518519 0.25925926 0.37037037 0.37037037
 0.48148148 0.48148148 0.48148148 0.51851852 0.51851852 0.59259259
 0.77777778 1.        ]","[0.         0.         0.         0.         0.         0.03703704
 0.03703704 0.14814815 0.22222222 0.2962963  0.33333333 0.37037037
 0.44444444 1.        ]",0.7242798353909464,-0.07000000000000002
SynClass,0.3333333333333333,0.5,0.5,,"[0.         0.03703704 0.18518519 0.25925926 0.37037037 0.37037037
 0.48148148 0.48148148 0.48148148 0.51851852 0.51851852 0.59259259
 0.77777778 1.        ]","[0.         0.         0.         0.         0.         0.03703704
 0.03703704 0.14814815 0.22222222 0.2962963  0.33333333 0.37037037
 0.44444444 1.        ]",0.7242798353909464,-0.060000000000000026
SynClass,0.3333333333333333,0.5,0.5,,"[0.         0.03703704 0.18518519 0.25925926 0.37037037 0.37037037
 0.48148148 0.48148148 0.48148148 0.51851852 0.51851852 0.59259259
 0.77777778 1.        ]","[0.         0.         0.         0.         0.         0.03703704
 0.03703704 0.14814815 0.22222222 0.2962963  0.33333333 0.37037037
 0.44444444 1.        ]",0.7242798353909464,-0.05000000000000003
SynClass,0.3333333333333333,0.5,0.5,,"[0.         0.03703704 0.18518519 0.25925926 0.37037037 0.37037037
 0.48148148 0.48148148 0.48148148 0.51851852 0.51851852 0.59259259
 0.77777778 1.        ]","[0.         0.         0.         0.         0.         0.03703704
 0.03703704 0.14814815 0.22222222 0.2962963  0.33333333 0.37037037
 0.44444444 1.        ]",0.7242798353909464,-0.040000000000000036
SynClass,0.3333333333333333,0.5,0.5,,"[0.         0.03703704 0.18518519 0.25925926 0.37037037 0.37037037
 0.48148148 0.48148148 0.48148148 0.51851852 0.51851852 0.59259259
 0.77777778 1.        ]","[0.         0.         0.         0.         0.         0.03703704
 0.03703704 0.14814815 0.22222222 0.2962963  0.33333333 0.37037037
 0.44444444 1.        ]",0.7242798353909464,-0.03000000000000004
SynClass,0.3333333333333333,0.5,0.5,,"[0.         0.03703704 0.18518519 0.25925926 0.37037037 0.37037037
 0.48148148 0.48148148 0.48148148 0.51851852 0.51851852 0.59259259
 0.77777778 1.        ]","[0.         0.         0.         0.         0.         0.03703704
 0.03703704 0.14814815 0.22222222 0.2962963  0.33333333 0.37037037
 0.44444444 1.        ]",0.7242798353909464,-0.020000000000000046
SynClass,0.3333333333333333,0.5,0.5,,"[0.         0.03703704 0.18518519 0.25925926 0.37037037 0.37037037
 0.48148148 0.48148148 0.48148148 0.51851852 0.51851852 0.59259259
 0.77777778 1.        ]","[0.         0.         0.         0.         0.         0.03703704
 0.03703704 0.14814815 0.22222222 0.2962963  0.33333333 0.37037037
 0.44444444 1.        ]",0.7242798353909464,-0.01000000000000005
