MN,ACC_1,ACC_2,F1,AUC,MCC
RandomForest,0.8452380952380952,0.6613333333333332,0.6734279999999999,0.6966666,0.440587
DecisionTree,0.8846666666666667,0.7666666666666666,0.7870942,0.7933308,0.6183612
KNN,0.94,0.63,0.6652848,0.6933343999999998,0.46631680000000003
OneClassSVM,0.9,0.9880952380952381,0.8761897999999999,0.9033332000000001,0.8082844
LocalOutlierFactor,0.425,0.4918367346938775,0.45509279999999996,0.4833332,-0.0546404
IsolationForest,0.7518115942028984,0.6201149425287357,0.4971172000000001,0.5966676,0.23984199999999997
Xgboost,0.5217391304347826,0.496,0.474807,0.5,0.0068327999999999965
