MN,ACC_1,ACC_2,F1,AUC,MCC
RandomForest,0.8763888888888888,0.6223333333333333,0.6553802000000001,0.6833334000000001,0.41847539999999994
DecisionTree,0.9683333333333333,0.7483333333333333,0.8156180000000001,0.8199972,0.6772076
KNN,0.8444444444444444,0.562,0.5568318000000001,0.6033354,0.2772702
OneClassSVM,1.0,0.634,0.5499982000000001,0.6500007999999999,0.3273304
LocalOutlierFactor,0.5546666666666666,0.38666666666666666,0.4916685999999999,0.5266672,0.005503200000000019
IsolationForest,0.6979166666666666,0.6547619047619048,0.48080720000000005,0.5933334,0.21672180000000002
Xgboost,0.65,0.589,0.5897858,0.6000017999999999,0.2167502
