MN,ACC_1,ACC_2,F1,AUC,MCC
RandomForest,0.867642857142857,0.5731520276824624,0.5718162,0.6199996,0.32303740000000003
DecisionTree,0.8028730158730158,0.591520288204041,0.5998208,0.6328575999999999,0.31993540000000004
KNN,0.74901443001443,0.6085741249970621,0.6330850000000001,0.6485698000000001,0.3252736
OneClassSVM,0.43113653116749084,0.2707130832130832,0.3478576000000001,0.3957164,-0.2451268
LocalOutlierFactor,0.526063779357897,0.5155720115125149,0.49670680000000006,0.5192834000000001,0.0402542
IsolationForest,0.6086086815678652,0.5093603588885054,0.45406420000000003,0.5178565999999999,0.06290660000000001
Xgboost,0.7377619047619048,0.5543277056277056,0.5425186,0.5878556,0.22602999999999998
