MN,ACC_1,ACC_2,F1,AUC,MCC
RandomForest,0.8802083333333334,0.662,0.6892612,0.7133326000000002,0.471941
DecisionTree,0.97,0.755,0.8188560000000001,0.8233303999999998,0.6846832
KNN,0.8666666666666667,0.5660000000000001,0.5624034000000001,0.6100021999999999,0.2951586
OneClassSVM,1.0,0.634,0.5499982000000001,0.6500007999999999,0.3273304
LocalOutlierFactor,0.5546666666666666,0.38666666666666666,0.4916685999999999,0.5266672,0.005503200000000019
IsolationForest,0.737,0.71,0.5260934,0.6233339999999999,0.2879604
Xgboost,0.63,0.593,0.592286,0.6000017999999999,0.2099174
