MN,ACC_1,ACC_2,F1,AUC,MCC
RandomForest,0.84375,0.6559999999999999,0.6674042,0.6933333999999999,0.43083380000000004
DecisionTree,0.903,0.765,0.7935702,0.7999971999999999,0.6333124
KNN,0.97,0.642,0.6817849999999999,0.710001,0.5035454
OneClassSVM,0.9,0.9880952380952381,0.8761897999999999,0.9033332000000001,0.8082844
LocalOutlierFactor,0.425,0.4918367346938775,0.45509279999999996,0.4833332,-0.0546404
IsolationForest,0.7978723404255319,0.6048387096774194,0.5088794,0.6033348,0.2660316
Xgboost,0.5680272108843537,0.5186666666666667,0.5106168000000001,0.5266672,0.0669984
