model_name,iteration,F1,ROC,acc-class-1,acc-class-2,SEN,SPE,MCC,TPR,FPR,AUC
DecisionTree,2,0.63542,0.64286,0.7,0.6111111111111112,0.5,0.78571,0.29814,"[0.         0.         0.35714286 0.42857143 0.42857143 0.5
 0.5        0.57142857 0.64285714 0.71428571 0.71428571 1.        ]","[0.         0.07142857 0.14285714 0.14285714 0.21428571 0.21428571
 0.28571429 0.28571429 0.35714286 0.35714286 0.5        1.        ]",0.653061224489796
KNN,2,0.58095,0.60714,0.7142857142857143,0.5714285714285714,0.35714,0.85714,0.24744,[0.         0.14285714 0.35714286 0.71428571 1.        ],[0.         0.         0.14285714 0.64285714 1.        ],0.6096938775510203
OneClassSVM,2,0.35238,0.39286,0.42857142857142855,0.2857142857142857,0.64286,0.14286,-0.24744,"[0.         0.07142857 0.28571429 0.28571429 0.42857143 0.42857143
 0.5        0.5        0.57142857 0.57142857 0.64285714 0.64285714
 0.71428571 0.71428571 0.85714286 0.85714286 1.        ]","[0.         0.         0.         0.14285714 0.14285714 0.35714286
 0.35714286 0.57142857 0.57142857 0.64285714 0.64285714 0.78571429
 0.78571429 0.85714286 0.85714286 1.         1.        ]",0.5459183673469388
LocalOutlierFactor,2,0.53512,0.53571,0.5333333333333333,0.5384615384615384,0.57143,0.5,0.07161,"[0.         0.         0.         0.28571429 0.28571429 0.42857143
 0.42857143 0.57142857 0.57142857 0.78571429 0.78571429 0.85714286
 0.85714286 1.         1.        ]","[0.         0.07142857 0.21428571 0.21428571 0.35714286 0.35714286
 0.5        0.5        0.64285714 0.64285714 0.71428571 0.71428571
 0.78571429 0.78571429 1.        ]",0.5153061224489797
IsolationForest,2,0.3875,0.5,0.5,0.5,0.07143,0.92857,0.0,"[0.         0.07142857 0.35714286 0.35714286 0.57142857 0.57142857
 0.64285714 0.64285714 0.71428571 0.71428571 0.78571429 0.78571429
 0.85714286 0.85714286 1.         1.        ]","[0.         0.         0.         0.42857143 0.42857143 0.5
 0.5        0.71428571 0.71428571 0.78571429 0.78571429 0.85714286
 0.85714286 0.92857143 0.92857143 1.        ]",0.5714285714285714
Xgboost,2,0.56188,0.60714,0.8,0.5652173913043478,0.28571,0.92857,0.27975,"[0.         0.07142857 0.07142857 0.35714286 0.35714286 0.42857143
 0.42857143 0.64285714 0.64285714 0.71428571 0.71428571 0.78571429
 0.78571429 0.85714286 0.85714286 0.92857143 0.92857143 1.        ]","[0.         0.         0.07142857 0.07142857 0.14285714 0.14285714
 0.21428571 0.21428571 0.35714286 0.35714286 0.64285714 0.64285714
 0.71428571 0.71428571 0.85714286 0.85714286 1.         1.        ]",0.6683673469387755
RandomForest,3,0.53544,0.60714,1.0,0.56,0.21429,1.0,0.34641,"[0.         0.07142857 0.28571429 0.35714286 0.57142857 0.64285714
 0.78571429 0.85714286 1.        ]","[0.         0.         0.         0.07142857 0.21428571 0.5
 0.78571429 0.85714286 1.        ]",0.6581632653061225
DecisionTree,3,0.50476,0.53571,0.5714285714285714,0.5238095238095238,0.28571,0.78571,0.08248,"[0.         0.21428571 0.28571429 0.35714286 0.42857143 0.42857143
 1.        ]","[0.         0.21428571 0.21428571 0.28571429 0.28571429 0.35714286
 1.        ]",0.5357142857142857
KNN,3,0.62567,0.64286,0.75,0.6,0.42857,0.85714,0.31623,"[0.         0.07142857 0.35714286 0.35714286 0.42857143 0.42857143
 0.5        0.5        0.64285714 0.64285714 0.78571429 0.78571429
 0.92857143 0.92857143 1.         1.        ]","[0.         0.         0.         0.14285714 0.14285714 0.21428571
 0.21428571 0.28571429 0.28571429 0.57142857 0.57142857 0.64285714
 0.64285714 0.71428571 0.71428571 1.        ]",0.7091836734693877
OneClassSVM,3,0.35238,0.39286,0.42857142857142855,0.2857142857142857,0.64286,0.14286,-0.24744,"[0.         0.07142857 0.28571429 0.28571429 0.42857143 0.42857143
 0.5        0.5        0.57142857 0.57142857 0.64285714 0.64285714
 0.71428571 0.71428571 0.85714286 0.85714286 1.        ]","[0.         0.         0.         0.14285714 0.14285714 0.35714286
 0.35714286 0.57142857 0.57142857 0.64285714 0.64285714 0.78571429
 0.78571429 0.85714286 0.85714286 1.         1.        ]",0.5459183673469388
