MN,ACC_1,ACC_2,F1,AUC,MCC
RandomForest,0.8177083333333334,0.6619999999999999,0.6658330000000001,0.6900002000000001,0.41880300000000004
DecisionTree,0.8846666666666667,0.7416666666666666,0.7773802,0.7833311999999998,0.5959344
KNN,0.93,0.6310000000000001,0.6665703999999999,0.6933342,0.46257059999999994
OneClassSVM,0.9,0.9880952380952381,0.8761897999999999,0.9033332000000001,0.8082844
LocalOutlierFactor,0.425,0.4918367346938775,0.45509279999999996,0.4833332,-0.0546404
IsolationForest,0.7942176870748299,0.6569892473118281,0.5445224000000001,0.6300011999999999,0.31415
Xgboost,0.5602836879432624,0.5196666666666667,0.5052356000000001,0.526667,0.0632522
