MN,ACC_1,ACC_2,F1,AUC,MCC
RandomForest,0.8563829787234043,0.654,0.6664996,0.6966666,0.43603179999999997
DecisionTree,0.9816666666666667,0.7516666666666666,0.822094,0.8266635999999998,0.6921588
KNN,0.8913043478260869,0.5720000000000001,0.5738084,0.6200024,0.32199120000000003
OneClassSVM,1.0,0.634,0.5499982000000001,0.6500007999999999,0.3273304
LocalOutlierFactor,0.5546666666666666,0.38666666666666666,0.4916685999999999,0.5266672,0.005503200000000019
IsolationForest,0.7520408163265306,0.6732142857142858,0.5281172000000001,0.6200006,0.28518899999999997
Xgboost,0.6632653061224489,0.5720000000000001,0.5698806000000001,0.5866684,0.19838519999999998
