MN,ACC_1,ACC_2,F1,AUC,MCC
RandomForest,0.8552604617604618,0.5802475136072256,0.5853573999999999,0.6278572,0.33141539999999997
DecisionTree,0.8389177489177488,0.5960795998366062,0.6099134,0.6428578,0.3485426
KNN,0.7577950937950938,0.6079973039628443,0.6294812000000001,0.6471418,0.3264542
OneClassSVM,0.43113653116749084,0.2707130832130832,0.3478576000000001,0.3957164,-0.2451268
LocalOutlierFactor,0.526063779357897,0.5155720115125149,0.49670680000000006,0.5192834000000001,0.0402542
IsolationForest,0.6413881673881676,0.5156629353317199,0.45865859999999997,0.5278562000000001,0.09179160000000001
Xgboost,0.7587142857142857,0.5576732731037078,0.5477634,0.5935703999999999,0.24266659999999998
