MN,ACC_1,ACC_2,F1,AUC,MCC
RandomForest,0.8863571428571428,0.5830154193632455,0.5909952,0.6342861999999999,0.3527121999999999
DecisionTree,0.8116111111111111,0.603802427016157,0.6221108000000001,0.6492872,0.34924859999999996
KNN,0.7314862914862915,0.5998724619034217,0.6197576,0.6371414,0.3010068
OneClassSVM,0.43113653116749084,0.2707130832130832,0.3478576000000001,0.3957164,-0.2451268
LocalOutlierFactor,0.526063779357897,0.5155720115125149,0.49670680000000006,0.5192834000000001,0.0402542
IsolationForest,0.5992545787545788,0.5118101537753712,0.44663020000000003,0.5207134000000001,0.06647120000000001
Xgboost,0.7402380952380951,0.5580119518162996,0.5509478,0.5928558000000002,0.23491859999999998
