MN,ACC_1,ACC_2,F1,AUC,MCC
RandomForest,0.8405797101449275,0.6303333333333333,0.6450703999999999,0.6766664000000001,0.39375439999999995
DecisionTree,0.9766666666666667,0.7566666666666666,0.822094,0.8266635999999998,0.6921588
KNN,0.8777777777777778,0.5680000000000001,0.5651892000000001,0.6133355999999999,0.3041028
OneClassSVM,1.0,0.634,0.5499982000000001,0.6500007999999999,0.3273304
LocalOutlierFactor,0.5546666666666666,0.38666666666666666,0.4916685999999999,0.5266672,0.005503200000000019
IsolationForest,0.6836734693877551,0.6772727272727272,0.4924740000000001,0.6000002,0.22535100000000002
Xgboost,0.6598639455782312,0.6036666666666667,0.6014767999999999,0.6133354,0.24113900000000002
