MN,ACC_1,ACC_2,F1,AUC,MCC
RandomForest,0.8472222222222222,0.6493333333333333,0.6662379999999999,0.6933336000000001,0.429216
DecisionTree,0.9883333333333333,0.7533333333333333,0.825332,0.8299967999999999,0.6996343999999999
KNN,0.875,0.5660000000000001,0.5593558000000001,0.6100021999999999,0.2951586
OneClassSVM,1.0,0.634,0.5499982000000001,0.6500007999999999,0.3273304
LocalOutlierFactor,0.5546666666666666,0.38666666666666666,0.4916685999999999,0.5266672,0.005503200000000019
IsolationForest,0.7469387755102042,0.6814814814814817,0.5297838,0.6233337999999999,0.28730059999999996
Xgboost,0.6566666666666667,0.5956666666666667,0.5975957999999999,0.6066685999999999,0.2300834
