MN,ACC_1,ACC_2,F1,AUC,MCC
RandomForest,0.9108527131782946,0.6473333333333333,0.6631416,0.6999996,0.44512519999999994
DecisionTree,0.9733333333333333,0.7483333333333333,0.8190466000000001,0.8233305999999999,0.6830653999999999
KNN,0.9047619047619048,0.5680000000000001,0.5560464,0.6133355999999999,0.3041028
OneClassSVM,1.0,0.634,0.5499982000000001,0.6500007999999999,0.3273304
LocalOutlierFactor,0.5546666666666666,0.38666666666666666,0.4916685999999999,0.5266672,0.005503200000000019
IsolationForest,0.6979166666666666,0.6857142857142857,0.4917358,0.6033334,0.2336354
Xgboost,0.6333333333333333,0.5913333333333334,0.5919047999999999,0.6000015999999999,0.2107264
